[09:58:08] b'Temperature: 26.8c | Humidity: 12.4% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe8\x88\x92\xe9\x80\x82 | OLED: Disconnected\r\n'
[09:58:08] b'Temperature: 26.1c | Humidity: 12.8% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe8\x88\x92\xe9\x80\x82 | OLED: Disconnected\r\n'
[09:58:08] b'Temperature: 27.3c | Humidity: 11.5% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe8\x88\x92\xe9\x80\x82 | OLED: Disconnected\r\n'
[09:58:08] b'Temperature: 26.7c | Humidity: 12.9% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe8\x88\x92\xe9\x80\x82 | OLED: Disconnected\r\n'
[09:58:09] b'Temperature: 27.7c | Humidity: 11.9% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe5\x81\x8f\xe9\xab\x98 | OLED: Disconnected\r\n'
[09:58:10] b'Temperature: 26.7c | Humidity: 12.9% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe8\x88\x92\xe9\x80\x82 | OLED: Disconnected\r\n'
[09:58:10] b'Temperature: 26.7c | Humidity: 12.9% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe8\x88\x92\xe9\x80\x82 | OLED: Disconnected\r\n'
[09:58:10] b'Temperature: 26.7c | Humidity: 12.9% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe8\x88\x92\xe9\x80\x82 | OLED: Disconnected\r\n'
[09:58:10] b'Temperature: 26.7c | Humidity: 12.9% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe8\x88\x92\xe9\x80\x82 | OLED: Disconnected\r\n'
[09:58:11] b'Temperature: 26.2c | Humidity: 12.9% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe8\x88\x92\xe9\x80\x82 | OLED: Disconnected\r\n'
[09:58:11] b'Temperature: 26.4c | Humidity: 12.9% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe8\x88\x92\xe9\x80\x82 | OLED: Disconnected\r\n'
[09:58:11] b'Temperature: 26.6c | Humidity: 12.9% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe8\x88\x92\xe9\x80\x82 | OLED: Disconnected\r\n'
[09:58:11] b'Temperature: 26.8c | Humidity: 12.9% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe8\x88\x92\xe9\x80\x82 | OLED: Disconnected\r\n'
[09:58:12] b'Temperature: 26.8c | Humidity: 12.1% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe8\x88\x92\xe9\x80\x82 | OLED: Disconnected\r\n'
[09:58:13] b'Temperature: 27.8c | Humidity: 11.6% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe5\x81\x8f\xe9\xab\x98 | OLED: Disconnected\r\n'
[09:58:13] b'Temperature: 27.8c | Humidity: 11.6% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe5\x81\x8f\xe9\xab\x98 | OLED: Disconnected\r\n'
[09:58:14] b'Temperature: 26.1c | Humidity: 12.6% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe8\x88\x92\xe9\x80\x82 | OLED: Disconnected\r\n'
[09:58:14] b'Temperature: 26.3c | Humidity: 12.6% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe8\x88\x92\xe9\x80\x82 | OLED: Disconnected\r\n'
[09:58:14] b'Temperature: 26.7c | Humidity: 12.6% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe8\x88\x92\xe9\x80\x82 | OLED: Disconnected\r\n'
[09:58:15] b'Temperature: 26.7c | Humidity: 12.6% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe8\x88\x92\xe9\x80\x82 | OLED: Disconnected\r\n'
[09:58:15] b'Temperature: 26.7c | Humidity: 12.6% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe8\x88\x92\xe9\x80\x82 | OLED: Disconnected\r\n'
[09:58:15] b'Temperature: 26.7c | Humidity: 12.6% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe8\x88\x92\xe9\x80\x82 | OLED: Disconnected\r\n'
[09:58:16] b'Temperature: 27.7c | Humidity: 11.6% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe5\x81\x8f\xe9\xab\x98 | OLED: Disconnected\r\n'
[09:58:16] b'Temperature: 26.7c | Humidity: 12.4% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe8\x88\x92\xe9\x80\x82 | OLED: Disconnected\r\n'
[09:58:17] b'Temperature: 27.2c | Humidity: 11.4% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe8\x88\x92\xe9\x80\x82 | OLED: Disconnected\r\n'
[09:58:17] b'Temperature: 27.4c | Humidity: 11.4% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe8\x88\x92\xe9\x80\x82 | OLED: Disconnected\r\n'
